[2026-01-27 11:27:40,156] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-01-27 11:27:41,186] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-01-27 11:27:42,889] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-27 11:27:42,899] 107 dagshub - INFO - Accessing as Karamjodh
[2026-01-27 11:27:44,230] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Karamjodh/Network-Security "HTTP/1.1 200 OK"
[2026-01-27 11:27:44,963] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-01-27 11:27:44,966] 107 dagshub - INFO - Initialized MLflow to track repo "Karamjodh/Network-Security"
[2026-01-27 11:27:45,004] 107 dagshub - INFO - Repository Karamjodh/Network-Security initialized!
[2026-01-27 11:27:45,005] 16 root - INFO - Initiating Data Ingestion
[2026-01-27 11:27:50,102] 73 root - INFO - Performed train test split on the Dataframe
[2026-01-27 11:27:50,102] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[2026-01-27 11:27:50,103] 77 root - INFO - Exporting train and test file path
[2026-01-27 11:27:50,191] 80 root - INFO - Exported train and test file path
[2026-01-27 11:27:50,192] 18 root - INFO - Data Ingestion Completed
[2026-01-27 11:27:50,203] 22 root - INFO - Initiating Data Validation
[2026-01-27 11:27:50,307] 34 root - INFO - Required number of columns : 2
[2026-01-27 11:27:50,308] 35 root - INFO - DataFrame has columns : 31
[2026-01-27 11:27:50,308] 34 root - INFO - Required number of columns : 2
[2026-01-27 11:27:50,308] 35 root - INFO - DataFrame has columns : 31
[2026-01-27 11:27:50,538] 24 root - INFO - Data Validation Completed
[2026-01-27 11:27:50,538] 27 root - INFO - data transformation started
[2026-01-27 11:27:50,539] 43 root - INFO - Entered initiate_data_transformation mehtod of dataTransformation class
[2026-01-27 11:27:50,539] 45 root - INFO - Starting data tranformation
[2026-01-27 11:27:50,567] 33 root - INFO - Entered get_data_transformer_object in DataTransformation class
[2026-01-27 11:27:50,568] 36 root - INFO - Initalize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-27 11:27:50,647] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-27 11:27:50,650] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-27 11:27:50,651] 31 root - INFO - data transformation completed
[2026-01-27 11:27:50,651] 32 root - INFO - Model Training Started
[2026-01-27 11:29:05,173] 43 root - INFO - Entered the Save Object method of Main Utils Class
[2026-01-27 11:29:05,270] 47 root - INFO - Exited the save_bject method of main Utils class
[2026-01-27 11:29:05,270] 82 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\27_01_26_11_27_27\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910786699107867, precision_score=0.9876742776318448, recall_score=0.9945066124109868), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973621103117506, precision_score=0.9666666666666667, recall_score=0.9806763285024155))
[2026-01-27 11:29:05,272] 36 root - INFO - Model Training artifact Created
