[2026-01-19 23:51:01,905] 14 root - INFO - Initiating Data Ingestion
[2026-01-19 23:51:03,970] 73 root - INFO - Performed train test split on the Dataframe
[2026-01-19 23:51:03,970] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[2026-01-19 23:51:03,970] 77 root - INFO - Exporting train and test file path
[2026-01-19 23:51:04,007] 80 root - INFO - Exported train and test file path
[2026-01-19 23:51:04,008] 16 root - INFO - Data Ingestion Completed
[2026-01-19 23:51:04,013] 20 root - INFO - Initiating Data Validation
[2026-01-19 23:51:04,060] 34 root - INFO - Required number of columns : 2
[2026-01-19 23:51:04,060] 35 root - INFO - DataFrame has columns : 31
[2026-01-19 23:51:04,061] 34 root - INFO - Required number of columns : 2
[2026-01-19 23:51:04,061] 35 root - INFO - DataFrame has columns : 31
[2026-01-19 23:51:04,152] 22 root - INFO - Data Validation Completed
