[2026-01-20 00:27:07,773] 14 root - INFO - Initiating Data Ingestion
[2026-01-20 00:27:09,846] 73 root - INFO - Performed train test split on the Dataframe
[2026-01-20 00:27:09,846] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[2026-01-20 00:27:09,847] 77 root - INFO - Exporting train and test file path
[2026-01-20 00:27:09,882] 80 root - INFO - Exported train and test file path
[2026-01-20 00:27:09,883] 16 root - INFO - Data Ingestion Completed
[2026-01-20 00:27:09,887] 20 root - INFO - Initiating Data Validation
[2026-01-20 00:27:09,934] 34 root - INFO - Required number of columns : 2
[2026-01-20 00:27:09,934] 35 root - INFO - DataFrame has columns : 31
[2026-01-20 00:27:09,935] 34 root - INFO - Required number of columns : 2
[2026-01-20 00:27:09,935] 35 root - INFO - DataFrame has columns : 31
[2026-01-20 00:27:10,037] 22 root - INFO - Data Validation Completed
